Målepunkt id,Fra dato,Til dato,Mængde,Måleenhed
571313115103364037,01-09-2018 kl. 23,02-09-2018 kl. 00,0.164,kWh
571313115103364037,01-09-2018 kl. 22,01-09-2018 kl. 23,0.187,kWh
571313115103364037,01-09-2018 kl. 21,01-09-2018 kl. 22,1.464,kWh
571313115103364037,01-09-2018 kl. 20,01-09-2018 kl. 21,0.106,kWh
571313115103364037,01-09-2018 kl. 19,01-09-2018 kl. 20,0.073,kWh
571313115103364037,01-09-2018 kl. 18,01-09-2018 kl. 19,0.145,kWh
571313115103364037,01-09-2018 kl. 17,01-09-2018 kl. 18,0.202,kWh
571313115103364037,01-09-2018 kl. 16,01-09-2018 kl. 17,0.398,kWh
571313115103364037,01-09-2018 kl. 15,01-09-2018 kl. 16,0.454,kWh
571313115103364037,01-09-2018 kl. 14,01-09-2018 kl. 15,0.311,kWh
571313115103364037,01-09-2018 kl. 13,01-09-2018 kl. 14,0.307,kWh
571313115103364037,01-09-2018 kl. 12,01-09-2018 kl. 13,0.131,kWh
571313115103364037,01-09-2018 kl. 11,01-09-2018 kl. 12,0.082,kWh
571313115103364037,01-09-2018 kl. 10,01-09-2018 kl. 11,0.077,kWh
571313115103364037,01-09-2018 kl. 09,01-09-2018 kl. 10,0.08,kWh
571313115103364037,01-09-2018 kl. 08,01-09-2018 kl. 09,0.079,kWh
571313115103364037,01-09-2018 kl. 07,01-09-2018 kl. 08,0.081,kWh
571313115103364037,01-09-2018 kl. 06,01-09-2018 kl. 07,0.111,kWh
571313115103364037,01-09-2018 kl. 05,01-09-2018 kl. 06,0.127,kWh
571313115103364037,01-09-2018 kl. 04,01-09-2018 kl. 05,0.076,kWh
571313115103364037,01-09-2018 kl. 03,01-09-2018 kl. 04,0.07,kWh
571313115103364037,01-09-2018 kl. 02,01-09-2018 kl. 03,0.076,kWh
571313115103364037,01-09-2018 kl. 01,01-09-2018 kl. 02,0.079,kWh
571313115103364037,01-09-2018 kl. 00,01-09-2018 kl. 01,0.089,kWh
571313115103364037,31-08-2018 kl. 23,01-09-2018 kl. 00,0.1,kWh
571313115103364037,31-08-2018 kl. 22,31-08-2018 kl. 23,0.117,kWh
571313115103364037,31-08-2018 kl. 21,31-08-2018 kl. 22,0.196,kWh
571313115103364037,31-08-2018 kl. 20,31-08-2018 kl. 21,0.562,kWh
571313115103364037,31-08-2018 kl. 19,31-08-2018 kl. 20,0.541,kWh
571313115103364037,31-08-2018 kl. 18,31-08-2018 kl. 19,0.259,kWh
571313115103364037,31-08-2018 kl. 17,31-08-2018 kl. 18,0.27,kWh
571313115103364037,31-08-2018 kl. 16,31-08-2018 kl. 17,0.287,kWh
571313115103364037,31-08-2018 kl. 15,31-08-2018 kl. 16,0.275,kWh
571313115103364037,31-08-2018 kl. 14,31-08-2018 kl. 15,0.224,kWh
571313115103364037,31-08-2018 kl. 13,31-08-2018 kl. 14,0.211,kWh
571313115103364037,31-08-2018 kl. 12,31-08-2018 kl. 13,0.082,kWh
571313115103364037,31-08-2018 kl. 11,31-08-2018 kl. 12,0.096,kWh
571313115103364037,31-08-2018 kl. 10,31-08-2018 kl. 11,0.13,kWh
571313115103364037,31-08-2018 kl. 09,31-08-2018 kl. 10,0.078,kWh
571313115103364037,31-08-2018 kl. 08,31-08-2018 kl. 09,0.077,kWh
571313115103364037,31-08-2018 kl. 07,31-08-2018 kl. 08,0.068,kWh
571313115103364037,31-08-2018 kl. 06,31-08-2018 kl. 07,0.07,kWh
571313115103364037,31-08-2018 kl. 05,31-08-2018 kl. 06,0.07,kWh
571313115103364037,31-08-2018 kl. 04,31-08-2018 kl. 05,0.074,kWh
571313115103364037,31-08-2018 kl. 03,31-08-2018 kl. 04,0.083,kWh
571313115103364037,31-08-2018 kl. 02,31-08-2018 kl. 03,0.275,kWh
571313115103364037,31-08-2018 kl. 01,31-08-2018 kl. 02,0.151,kWh
571313115103364037,31-08-2018 kl. 00,31-08-2018 kl. 01,0.166,kWh
571313115103364037,30-08-2018 kl. 23,31-08-2018 kl. 00,0.183,kWh
571313115103364037,30-08-2018 kl. 22,30-08-2018 kl. 23,0.194,kWh
571313115103364037,30-08-2018 kl. 21,30-08-2018 kl. 22,0.157,kWh
571313115103364037,30-08-2018 kl. 20,30-08-2018 kl. 21,0.161,kWh
571313115103364037,30-08-2018 kl. 19,30-08-2018 kl. 20,0.166,kWh
571313115103364037,30-08-2018 kl. 18,30-08-2018 kl. 19,0.196,kWh
571313115103364037,30-08-2018 kl. 17,30-08-2018 kl. 18,0.189,kWh
571313115103364037,30-08-2018 kl. 16,30-08-2018 kl. 17,0.288,kWh
571313115103364037,30-08-2018 kl. 15,30-08-2018 kl. 16,0.305,kWh
571313115103364037,30-08-2018 kl. 14,30-08-2018 kl. 15,0.305,kWh
571313115103364037,30-08-2018 kl. 13,30-08-2018 kl. 14,0.3,kWh
571313115103364037,30-08-2018 kl. 12,30-08-2018 kl. 13,0.31,kWh
571313115103364037,30-08-2018 kl. 11,30-08-2018 kl. 12,0.633,kWh
571313115103364037,30-08-2018 kl. 10,30-08-2018 kl. 11,0.141,kWh
571313115103364037,30-08-2018 kl. 09,30-08-2018 kl. 10,0.074,kWh
571313115103364037,30-08-2018 kl. 08,30-08-2018 kl. 09,0.074,kWh
571313115103364037,30-08-2018 kl. 07,30-08-2018 kl. 08,0.071,kWh
571313115103364037,30-08-2018 kl. 06,30-08-2018 kl. 07,0.073,kWh
571313115103364037,30-08-2018 kl. 05,30-08-2018 kl. 06,0.073,kWh
571313115103364037,30-08-2018 kl. 04,30-08-2018 kl. 05,0.074,kWh
571313115103364037,30-08-2018 kl. 03,30-08-2018 kl. 04,0.084,kWh
571313115103364037,30-08-2018 kl. 02,30-08-2018 kl. 03,0.089,kWh
571313115103364037,30-08-2018 kl. 01,30-08-2018 kl. 02,0.094,kWh
571313115103364037,30-08-2018 kl. 00,30-08-2018 kl. 01,0.262,kWh
571313115103364037,29-08-2018 kl. 23,30-08-2018 kl. 00,0.402,kWh
571313115103364037,29-08-2018 kl. 22,29-08-2018 kl. 23,0.405,kWh
571313115103364037,29-08-2018 kl. 21,29-08-2018 kl. 22,0.292,kWh
571313115103364037,29-08-2018 kl. 20,29-08-2018 kl. 21,0.268,kWh
571313115103364037,29-08-2018 kl. 19,29-08-2018 kl. 20,0.834,kWh
571313115103364037,29-08-2018 kl. 18,29-08-2018 kl. 19,0.495,kWh
571313115103364037,29-08-2018 kl. 17,29-08-2018 kl. 18,0.291,kWh
571313115103364037,29-08-2018 kl. 16,29-08-2018 kl. 17,0.277,kWh
571313115103364037,29-08-2018 kl. 15,29-08-2018 kl. 16,0.427,kWh
571313115103364037,29-08-2018 kl. 14,29-08-2018 kl. 15,0.294,kWh
571313115103364037,29-08-2018 kl. 13,29-08-2018 kl. 14,0.529,kWh
571313115103364037,29-08-2018 kl. 12,29-08-2018 kl. 13,0.411,kWh
571313115103364037,29-08-2018 kl. 11,29-08-2018 kl. 12,0.172,kWh
571313115103364037,29-08-2018 kl. 10,29-08-2018 kl. 11,0.086,kWh
571313115103364037,29-08-2018 kl. 09,29-08-2018 kl. 10,0.083,kWh
571313115103364037,29-08-2018 kl. 08,29-08-2018 kl. 09,0.09,kWh
571313115103364037,29-08-2018 kl. 07,29-08-2018 kl. 08,0.079,kWh
571313115103364037,29-08-2018 kl. 06,29-08-2018 kl. 07,0.084,kWh
571313115103364037,29-08-2018 kl. 05,29-08-2018 kl. 06,0.092,kWh
571313115103364037,29-08-2018 kl. 04,29-08-2018 kl. 05,0.128,kWh
571313115103364037,29-08-2018 kl. 03,29-08-2018 kl. 04,0.075,kWh
571313115103364037,29-08-2018 kl. 02,29-08-2018 kl. 03,0.078,kWh
571313115103364037,29-08-2018 kl. 01,29-08-2018 kl. 02,0.112,kWh
571313115103364037,29-08-2018 kl. 00,29-08-2018 kl. 01,0.106,kWh
571313115103364037,28-08-2018 kl. 23,29-08-2018 kl. 00,0.17,kWh
571313115103364037,28-08-2018 kl. 22,28-08-2018 kl. 23,0.336,kWh
571313115103364037,28-08-2018 kl. 21,28-08-2018 kl. 22,0.308,kWh
571313115103364037,28-08-2018 kl. 20,28-08-2018 kl. 21,0.281,kWh
571313115103364037,28-08-2018 kl. 19,28-08-2018 kl. 20,0.21,kWh
571313115103364037,28-08-2018 kl. 18,28-08-2018 kl. 19,0.216,kWh
571313115103364037,28-08-2018 kl. 17,28-08-2018 kl. 18,0.248,kWh
571313115103364037,28-08-2018 kl. 16,28-08-2018 kl. 17,0.173,kWh
571313115103364037,28-08-2018 kl. 15,28-08-2018 kl. 16,0.279,kWh
571313115103364037,28-08-2018 kl. 14,28-08-2018 kl. 15,0.31,kWh
571313115103364037,28-08-2018 kl. 13,28-08-2018 kl. 14,0.308,kWh
571313115103364037,28-08-2018 kl. 12,28-08-2018 kl. 13,0.406,kWh
571313115103364037,28-08-2018 kl. 11,28-08-2018 kl. 12,0.258,kWh
571313115103364037,28-08-2018 kl. 10,28-08-2018 kl. 11,0.076,kWh
571313115103364037,28-08-2018 kl. 09,28-08-2018 kl. 10,0.068,kWh
571313115103364037,28-08-2018 kl. 08,28-08-2018 kl. 09,0.068,kWh
571313115103364037,28-08-2018 kl. 07,28-08-2018 kl. 08,0.068,kWh
571313115103364037,28-08-2018 kl. 06,28-08-2018 kl. 07,0.069,kWh
571313115103364037,28-08-2018 kl. 05,28-08-2018 kl. 06,0.069,kWh
571313115103364037,28-08-2018 kl. 04,28-08-2018 kl. 05,0.071,kWh
571313115103364037,28-08-2018 kl. 03,28-08-2018 kl. 04,0.081,kWh
571313115103364037,28-08-2018 kl. 02,28-08-2018 kl. 03,0.151,kWh
571313115103364037,28-08-2018 kl. 01,28-08-2018 kl. 02,0.188,kWh
571313115103364037,28-08-2018 kl. 00,28-08-2018 kl. 01,0.332,kWh
571313115103364037,27-08-2018 kl. 23,28-08-2018 kl. 00,0.337,kWh
571313115103364037,27-08-2018 kl. 22,27-08-2018 kl. 23,0.297,kWh
571313115103364037,27-08-2018 kl. 21,27-08-2018 kl. 22,0.322,kWh
571313115103364037,27-08-2018 kl. 20,27-08-2018 kl. 21,0.88,kWh
571313115103364037,27-08-2018 kl. 19,27-08-2018 kl. 20,0.726,kWh
571313115103364037,27-08-2018 kl. 18,27-08-2018 kl. 19,0.253,kWh
571313115103364037,27-08-2018 kl. 17,27-08-2018 kl. 18,0.353,kWh
